Name,length_words_total,number_of_sentences_total,words_per_sentences_mean,words_per_sentences_std,words_per_sentences_min,words_per_sentences_max,title,creator,identifier,publisher,rights,date,description,Percentaje_Verb_Past,Percentaje_Verb_Present,Percentaje_Verb_Future,Percentaje_Foreign_Words_10000,contributor
" Amir Levine, Rachel Heller   Attached  The New Science of Adult Attachment and How It Can Help You Find   and Keep   Love   Penguin Group USA (2010) ",72407.0,3009.0,24.06,22.77,1.0,920.0,Attached,Amir Levine,9781101475164,"Penguin Group USA, Inc.",Copyright © 2010 by Amir Levine and Rachel Heller,2010-10-20T07:00:00+00:00,"<p>Is there a science to love? <p>In this groundbreaking book, psychiatrist and neuroscientist Amir Levine and psychologist Rachel S. F. Heller reveal how an understanding of attachment theory-the most advanced relationship science in existence today-can help us find and sustain love. Attachment theory forms the basis for many bestselling books on the parent/child relationship, but there has yet to be an accessible guide to what this fascinating science has to tell us about adult romantic relationships-until now.<p>Attachment theory owes its inception to British psychologist and psychoanalyst John Bowlby, who in the 1950s examined the tremendous impact that our early relationships with our parents or caregivers has on the people we become. Also central to attachment theory is the discovery that our need to be in a close relationship with one or more individuals is embedded in our genes.<p>In Attached, Levine and Heller trace how these evolutionary influences continue to shape who...",24.0,44.0,32.0,5.39,
 Tiffany Jenkins   High Achiever  The Incredible True Story of One Addict’s Double Life Harmony (2019) ,113573.0,6569.0,17.29,11.91,2.0,505.0,High Achiever,Tiffany Jenkins,9780593135969,Potter/Ten Speed/Harmony/Rodale,Copyright © 2017 by Tiffany Jenkins,2019-06-18,"<b>An up-close portrait of the mind of an addict and a life unraveled by narcotics&#8212;a memoir of captivating urgency and surprising humor that puts a human face on the opioid crisis.</b><br><b> <br><b>""Raw, brutal, and shocking. Move over, <i>Orange Is the New Black.</i>""&#8212;Amy Dresner, author of <i>My Fair Junkie</i></b><br></b><br>When word got out<b> </b>that Tiffany Jenkins was withdrawing from opiates on the floor of a jail cell, people in her town were shocked. Not because of the twenty felonies she'd committed, or the nature of her crimes, or even that she'd been captain of the high school cheerleading squad just a few years earlier, but because her boyfriend was a Deputy Sherriff, and his friends&#8212;their friends&#8212;were the ones who'd arrested her.<br> <br>A raw and twisty page-turning memoir that reads like fiction, <i>High Achiever </i>spans Tiffany's life as an active opioid addict, her 120 days in a Florida jail where every officer despised what she'd...",43.0,29.0,28.0,9.95,
" (1) Don Miguel Ruiz   The Four Agreements Amber Allen Publishing, Incorporated (2018) ",30089.0,1564.0,19.24,12.44,2.0,195.0,The Four Agreements,Don Miguel Ruiz,f8d75dba-25d5-4353-ba42-666fc27e9108,Amber-Allen Publishing,"Copyright &#x00A9; 1997 by Miguel Angel Ruiz, M.D.",1996-12-31T17:00:00+00:00,"In The Four Agreements, don Miguel Ruiz reveals the source of self-limiting agreements that rob people of joy and create needless suffering. Based on ancient Toltec wisdom, the Four Agreements offer a powerful code of conduct that can rapidly transform anyone's life to a new experience of freedom, true happiness, and love. These agreements are deceptively simple: Be impeccable with your word (speak with integrity; say only what you mean); Don't take anything personally (nothing others do is because of you); Don't make assumptions (find the courage to ask questions and express what you really want); Always do your best (and you will avoid self-judgment, self-abuse, and regret). Peter Coyote's resonant reading emphasizes the power in these remarkable tenets.<br>(source: Anobii.com)<br>",12.0,55.0,33.0,11.3,calibre (3.39.1) [https://calibre-ebook.com]
 Steven Kotler   The Art of Impossible Harper Wave (2020) ,106259.0,5429.0,19.57,26.07,1.0,904.0,The Art of Impossible,Steven Kotler,9780062977526,Harper Wave,All rights reserved,2020-11-02,"<p><strong>Bestselling author and peak performance expert Steven Kotler decodes the secrets of those elite performers&#8212;athletes, artists, scientists, CEOs and more&#8212;who have changed our definition of the possible, teaching us how we too can stretch far beyond our capabilities, making impossible dreams much more attainable for all of us.</strong><br/>What does it take to accomplish the impossible? What does it take to shatter our limitations, exceed our expectations, and turn our biggest dreams into our most recent achievements? </p><p>We are capable of so much more than we know&#8212;that's the message at the core of The Art of Impossible. Building upon cutting-edge neuroscience and over twenty years of research, bestselling author, peak performance expert and Executive Director of the Flow Research Collective, Steven Kotler lays out a blueprint for extreme performance improvement. If you want to aim high, here is the playbook to make it happen!</p><p>Inspirational and...",20.0,51.0,29.0,6.31,
" Malcolm Gladwell   David and Goliath  Underdogs, Misfits, and the Art of Battling Giants Little, Brown and Company (2013) ",96303.0,4612.0,20.88,16.61,2.0,207.0,David and Goliath,Malcolm Gladwell,9780316204385,"Little, Brown and Company",Copyright © 2013 by Malcolm Gladwell,2013-10-01,"<p><b>Malcolm Gladwell, the #1 bestselling author of <i>The Tipping Point, Blink, Outliers, </i>and <i>What the Dog Saw,</i> offers his most provocative&#8212;and dazzling&#8212;book yet.</b><br><br>Three thousand years ago on a battlefield in ancient Palestine , a shepherd boy felled a mighty warrior with nothing more than a pebble and a sling-and ever since then the names of David and Goliath have stood for battles between underdogs and giants. David's victory was improbable and miraculous. He <i>shouldn't </i>have won. <br><br>Or should he? <br><br>In <i>David and Goliath</i>, Malcolm Gladwell<i> </i>challenges how we think about obstacles and disadvantages-offering a new interpretation of what it means to be discriminated against, or cope with a disability, or lose a parent, or attend a mediocre school, or suffer from any number of other apparent setbacks.<br><br>Gladwell begins with the <i>real</i> story of what happened between the giant and the shepherd boy those many years...",40.0,34.0,26.0,11.63,
 Robert Kolker   Hidden Valley Road  Inside the Mind of an American Family Knopf Doubleday Publishing Group (2020) ,148962.0,6232.0,23.9,17.09,2.0,429.0,Hidden Valley Road,Robert Kolker,9780385543774,Knopf Doubleday Publishing Group,Copyright © 2020 by Robert Kolker,2020-04-07,"<b>The heartrending story of a midcentury American family with twelve children, six of them diagnosed with schizophrenia, that became science's great hope in the quest to understand the disease.</b><br>Don and Mimi Galvin seemed to be living the American dream. After World War II, Don's work with the Air Force brought them to Colorado, where their twelve children perfectly spanned the baby boom: the oldest born in 1945, the youngest in 1965. In those years, there was an established script for a family like the Galvins&#8212;aspiration, hard work, upward mobility, domestic harmony&#8212;and they worked hard to play their parts. But behind the scenes was a different story: psychological breakdown, sudden shocking violence, hidden abuse. By the mid-1970s, six of the ten Galvin boys, one after the other, were diagnosed as schizophrenic. How could all this happen to one family?<br> What took place inside the house on Hidden Valley Road was so extraordinary that the Galvins became one...",50.0,23.0,27.0,13.02,
 Gary John Bishop   Unfu k Yourself  Get Out of Your Head and into Your Life HarperOne (2017) ,33592.0,1804.0,18.62,12.43,2.0,111.0,Unfu*k Yourself: Get out of your head and into your life,Gary John Bishop,B01M8LUTO2,,,2016-10-21T22:00:00+00:00,,14.0,50.0,36.0,4.17,calibre (2.74.0) [https://calibre-ebook.com]
" Christian, Brian  Griffiths, Tom   Algorithms to Live By  The Computer Science of Human Decisions Henry Holt and Co. (2016) ",171990.0,6218.0,27.66,21.5,2.0,422.0,Algorithms to Live By: The Computer Science of Human Decisions,Brian Christian,9781627790376,Henry Holt and Co.,All rights reserved,2016-04-19T06:00:00+00:00,,22.0,48.0,30.0,12.04,calibre (2.55.0) [http://calibre-ebook.com]
" Gary Vaynerchuk   Crushing It!  How Great Entrepreneurs Build Their Business and Influence and How You Can, Too HarperBusiness (2018) ",93375.0,4139.0,22.56,15.15,1.0,138.0,Crushing It!  EPB,Gary Vaynerchuk,9780062674692,HarperCollins,,2018-01-30,,27.0,41.0,32.0,5.78,
 Holly Glenn Whitaker   Quit Like a Woman  The Radical Choice to Not Drink in a Culture Obsessed with Alcohol Bloomsbury Publishing (2019) ,130183.0,4507.0,28.88,19.46,1.0,491.0,Quit Like a Woman,Holly Glenn Whitaker,9781526612267,Bloomsbury Publishing,"© Holly Glenn Whitaker, 2020",2019,"We live in a world obsessed with drinking. We drink at work events, lunches, book clubs and weddings. Yet no one ever questions alcohol's ubiquity. In fact, the only thing ever questions is why people don't drink. It is a qualifier for belonging. As a society, we are obsessed with health and wellness, yet we uphold alcohol as some sort of magic elixir. It is anything but. <br/>When Holly Whitaker started to look for a way to recover, the support systems she found for recovery where archaic and patriarchal. Urging drinkers towards a newfound humility is great if you're a man, but if you're a woman and not in a position to renounce privileges you never had, a whole other approach is needed. <br/>She embarked on a journey that led not only to her own sobriety, but revealed the insidious role alcohol plays in our society and in the lives of women in particular. What's more, she could not ignore the ways that alcohol companies were targeting women, just as the tobacco industry had...",27.0,44.0,29.0,4.61,
