,Bibliioteca pública,http://libgen.rs/,,,,,
,Amazon Best Sellers,https://www.dropbox.com/sh/9c73aizqa1pb2ta/AAB8az2iS4I7vWrDlUzqRpSda?dl=0,,,,,
FECHA PUBLICACIÓN,NO. CALIFICACIONES,ENLACE,TÍTULO,SUBTÍTULO,RESEÑA,RECOMENDACIÓN 1,RECOMENDACIÓN 2
10-16-18,53693,https://www.audible.com/pd/Atomic-Habits-Audiobook/1524779261?qid=1612131890&sr=1-4&ref=a_search_c3_lProduct_1_4&pf_rd_p=83218cca-c308-412f-bfcf-90198b687a2f&pf_rd_r=MB5RC0MV16D9EVMQ1HWQ,Atomic Habits,"
An Easy & Proven Way to Build Good Habits & Break Bad Ones","The number one New York Times best seller. Over one million copies sold!

Tiny Changes, Remarkable Results

No matter your goals, Atomic Habits offers a proven framework for improving - every day. James Clear, one of the world's leading experts on habit formation, reveals practical strategies that will teach you exactly how to form good habits, break bad ones, and master the tiny behaviors that lead to remarkable results.

If you're having trouble changing your habits, the problem isn't you. The problem is your system. Bad habits repeat themselves again and again not because you don't want to change, but because you have the wrong system for change. You do not rise to the level of your goals. You fall to the level of your systems. Here, you'll get a proven system that can take you to new heights.

Clear is known for his ability to distill complex topics into simple behaviors that can be easily applied to daily life and work. Here, he draws on the most proven ideas from biology, psychology, and neuroscience to create an easy-to-understand guide for making good habits inevitable and bad habits impossible. Along the way, listeners will be inspired and entertained with true stories from Olympic gold medalists, award-winning artists, business leaders, life-saving physicians, and star comedians who have used the science of small habits to master their craft and vault to the top of their field.

Learn how to:

Make time for new habits (even when life gets crazy)
Overcome a lack of motivation and willpower
Design your environment to make success easier
Get back on track when you fall off course
And much more
Atomic Habits will reshape the way you think about progress and success, and give you the tools and strategies you need to transform your habits - whether you are a team looking to win a championship, an organization hoping to redefine an industry, or simply an individual who wishes to quit smoking, lose weight, reduce stress, or achieve any other goal.","Atomic Habits was a great read. I learned a lot and think it’ll be helpful to a lot of people.""","In Atomic Habits, Clear will show you how to overcome a lack of motivation, change your environment to encourage success, and make time for new (and better) habits"
02-02-21,126,https://www.audible.com/pd/Think-Again-Audiobook/0593394763?qid=1612837512&sr=1-2&ref=a_search_c3_lProduct_1_2&pf_rd_p=83218cca-c308-412f-bfcf-90198b687a2f&pf_rd_r=5KYE91TDTG8WN45DCKWP,Think Again,"
The Power of Knowing What You","Intelligence is usually seen as the ability to think and learn, but in a rapidly changing world, there's another set of cognitive skills that might matter more: the ability to rethink and unlearn. In our daily lives, too many of us favor the comfort of conviction over the discomfort of doubt. We listen to opinions that make us feel good, instead of ideas that make us think hard. We see disagreement as a threat to our egos, rather than an opportunity to learn. We surround ourselves with people who agree with our conclusions, when we should be gravitating toward those who challenge our thought process. The result is that our beliefs get brittle long before our bones. 

We think too much like preachers defending our sacred beliefs, prosecutors proving the other side wrong, and politicians campaigning for approval - and too little like scientists searching for truth. 

Intelligence is no cure, and it can even be a curse: Being good at thinking can make us worse at rethinking. The brighter we are, the blinder to our own limitations we can become.

Organizational psychologist Adam Grant is an expert on opening other people's minds - and our own. As Wharton's top-rated professor and the best-selling author of Originals and Give and Take, he makes it one of his guiding principles to argue like he's right but listen like he's wrong. With bold ideas and rigorous evidence, he investigates how we can embrace the joy of being wrong, bring nuance to charged conversations, and build schools, workplaces, and communities of lifelong learners. You'll learn how an international debate champion wins arguments, a Black musician persuades White supremacists to abandon hate, a vaccine whisperer convinces concerned parents to immunize their children, and Adam has coaxed Yankees fans to root for the Red Sox. 

Think Again reveals that we don't have to believe everything we think or internalize everything we feel. It's an invitation to let go of views that are no longer serving us well and prize mental flexibility over foolish consistency. If knowledge is power, knowing what we don't know is wisdom.

","Think Again is a must-read for anyone who wants to create a culture of learning and exploration, whether at home, at work, or at school.... In an increasingly divided world, the lessons in this book are more important than ever."" (Bill and Melinda Gates)

The best-selling author of Give and Take and Originals examines the critical art of rethinking: learning to question your opinions and open other people's minds, which can position you for excellence at work and wisdom in life","Another great book by Adam Grant. The thing that I love is that 1 this title was actually narrated by the author (which always makes me more comfortable with a book) and 2 in this book he shared his knowledge and even Thought Again about his older work. Happy to have consumed this and I am definitely sharing with all my friends and colleagues!

"
01-23-18,64963,https://www.audible.com/pd/12-Rules-for-Life-Audiobook/B0797YBP7N?qid=1612132294&sr=1-7&ref=a_search_c3_lProduct_1_7&pf_rd_p=83218cca-c308-412f-bfcf-90198b687a2f&pf_rd_r=AD6QKA1H8CXB0JW0CVAV,12 Rules for Life,"
An Antidote to Chaos","What does everyone in the modern world need to know? Renowned psychologist Jordan B. Peterson's answer to this most difficult of questions uniquely combines the hard-won truths of ancient tradition with the stunning revelations of cutting-edge scientific research.

Humorous, surprising, and informative, Dr. Peterson tells us why skateboarding boys and girls must be left alone, what terrible fate awaits those who criticize too easily, and why you should always pet a cat when you meet one on the street.

What does the nervous system of the lowly lobster have to tell us about standing up straight (with our shoulders back) and about success in life? Why did ancient Egyptians worship the capacity to pay careful attention as the highest of gods? What dreadful paths do people tread when they become resentful, arrogant, and vengeful? Dr. Peterson journeys broadly, discussing discipline, freedom, adventure, and responsibility, distilling the world's wisdom into 12 practical and profound rules for life. 12 Rules for Life shatters the modern commonplaces of science, faith, and human nature while transforming and ennobling the mind and spirit of its listeners.","Jordan Peterson, has become one of the best-known Canadians of this generation. In the intellectual category, he’s easily the largest international phenomenon since Marshall McLuhan.... By combining knowledge of the past with a full-hearted optimism and a generous attitude toward his readers and listeners, Peterson generates an impressive level of intellectual firepower","Like the best intellectual polymaths, Peterson invites his readers to embark on their own intellectual, spiritual and ideological journeys into the many topics and disciplines he touches on. It’s a counter-intuitive strategy for a population hooked on the instant gratification of ideological conformity and social media ‘likes,’ but if Peterson is right, you have nothing to lose but your own misery."
01-05-21,465,https://www.audible.com/pd/Keep-Sharp-Audiobook/1797105949?qid=1612837512&sr=1-4&ref=a_search_c3_lProduct_1_4&pf_rd_p=83218cca-c308-412f-bfcf-90198b687a2f&pf_rd_r=5KYE91TDTG8WN45DCKWP,Keep Sharp,"
How to Build a Better Brain at Any Age","Keep your brain young, healthy, and sharp with this science-driven guide to protecting your mind from decline by neurosurgeon and CNN chief medical correspondent Sanjay Gupta.

Throughout our life, we look for ways to keep our mind sharp and effortlessly productive. Now, globetrotting neurosurgeon Dr. Sanjay Gupta offers insights from top scientists all over the world, whose cutting-edge research can help you heighten and protect brain function and maintain cognitive health at any age. 

Keep Sharp debunks common myths about aging and cognitive decline, explores whether there’s a “best” diet or exercise regimen for the brain, and explains whether it’s healthier to play video games that test memory and processing speed, or to engage in more social interaction. Discover what we can learn from “super-brained” people who are in their 80s and 90s with no signs of slowing down - and whether there are truly any benefits to drugs, supplements, and vitamins. Dr. Gupta also addresses brain disease, particularly Alzheimer’s, answers all your questions about the signs and symptoms, and shows how to ward against it and stay healthy while caring for a partner in cognitive decline. He likewise provides you with a personalized 12-week program featuring practical strategies to strengthen your brain every day.

Keep Sharp is the only owner’s manual you’ll need to keep your brain young and healthy regardless of your age! ","A Master Class in Brain Resilience
Clear, practical advice and insights into optimizing your brain’s potential - everyday - to achieve your best life. Has a lot of practical small acts with big impacts to help your brain work sharper. Thank you Dr. Gupta for this exceptional book!!","A wealth of knowledge
I thoroughly enjoyed listening to Dr Gupta’s audio book. It’s filled with a wealth of knowledge on how to keep your brain sharp. This book has prompted me to make some lifestyle changes and I’ll share what I’ve learned with loved ones. I appreciate Dr. Gupta taking time out of his busy schedule to share what he’s learned over the years. Very well done!"
09-10-19,56698,https://www.audible.com/pd/Talking-to-Strangers-Audiobook/1549150340?qid=1612132294&sr=1-15&ref=a_search_c3_lProduct_1_15&pf_rd_p=83218cca-c308-412f-bfcf-90198b687a2f&pf_rd_r=AD6QKA1H8CXB0JW0CVAV,Talking to Strangers,"
What We Should Know About the People We Don't Know","About the Creator and Performer
Malcolm Gladwell is a Canadian journalist, author, and podcaster. He is the host of the podcasts Revisionist History and Broken Record and co-founder of the audio production company Pushkin Industries. For his sixth audiobook, the #1 New York Times audio best-seller Talking to Strangers, he drew on real-life audio–including archival footage and clips from his own interviews—to incorporate the production techniques of a podcast into the audiobook format. It has been praised by Audible listeners as ""a new era in audiobooks…and maybe in relating to others."" He has also written and narrated The Tipping Point (2000); Blink (2005); Outliers (2008); and David and Goliath (2013), all of which are New York Times best-sellers. Gladwell’s books and articles often deal with the unexpected implications of research in the social sciences, particularly sociology, psychology, and social psychology. He was appointed to the Order of Canada in 2011 and has been a staff writer for The New Yorker since 1996. He lives in New York.","A new era in audio books...and maybe in relating to others
I am ruined forever on all the usual audiobooks. This was utterly fabulously produced, and now I shall expect all audiobooks to sound like fascinating podcasts ;) Ha! Really though, Malcolm has dramatically raised the bar on audiobooks. Second, I just had a conversation in which my husband and I were talking about how complex people are....that sometimes things are not as they’d first seem. True to form, Malcolm sweeps us into a story about one thing, and then suddenly it is about something totally unexpected yet profoundly relevant in helping us see and understand the story (and characters in it) at hand. This book has moved me toward working to hold a more gracious posture in my interactions with others and myself without sacrificing wisdom. I cannot forget the three interlocking realities he explores in this book: default to truth, the illusion of transparency, and coupling. If everyone in America could sit quietly with this information and truly consider it, we may perhaps create a kinder—and wiser— society. I’m recommending this to everyone. Although, some content is not intended for young ears. Parents be aware if you’re listening in the car with kiddos in the back.
","This is a ""should read""… Thought-provoking
I've been a member of audible since two months after its creation. This is only the second review I have ever posted with a library size numbering in the thousands and countless other books that I have returned; now I'll tell you why I am posting. I have always enjoyed Malcolm Gladwell's books so I was a bit apprehensive because I had read a few notable book reviewers reviews on this most recent publication. Therefore my mindset going into the book was cautious tending towards a negative perspective. I almost stopped reading after the first few chapters as I really could not buy into the perspective and underlying assumptions being posited. Nonetheless, I could not dismiss them out of hand and given Mr. Gladwell has been, for the most part, in his writing apolitical I pressed forward and glad I did. By the time I ended the book I can say this, regardless of your political bend this should leave you with some thought-provoking questions about society, our governmental structures, and how we view one another. The sophomoric approaches pontificated by politicians offering some law that will resolve all things is ""magical thinking"". The currents social drumbeat to see others outside your circles ['strangers' as defined by Mr. Gladwell] as threats and believe we can discern their intentions and motivations better than they can themselves are factual states of being in our time. 'If you don't agree with me therefore you must be evil' mindset is not helping any of us to understand another. Given the thought-provoking postulates of this book I wonder if we would come together as a nation if faced with, God forbid, another 9/11 event as we once did just a short few years ago. I hope you take the time to read the book. If you do decide to read the book I hope you'll set aside your own presuppositions and hear out Mr. Gladwell. I don't endorse all he has put forward but I applaud him for identifying and articulating clearly a problem we all face."
12-31-00,28917,https://www.audible.com/pd/The-Power-of-Now-Audiobook/B002V0PN36?qid=1612837512&sr=1-6&ref=a_search_c3_lProduct_1_6&pf_rd_p=83218cca-c308-412f-bfcf-90198b687a2f&pf_rd_r=5KYE91TDTG8WN45DCKWP,The Power of Now,"
A Guide to Spiritual Enlightenment","To make the journey into The Power of Now you need to leave your analytical mind and its false created self, the ego, behind. Access to the Now is everywhere - in the body, the silence, and the space all around you. These are the keys to enter a state of inner peace. They can be used to bring you into the Now, the present moment, where problems do not exist. It is here you find your joy and are able to embrace your true self. It is here you discover that you are already complete and perfect.
Although the journey is challenging, Eckhart Tolle offers simple language in a question and answer format. The words themselves are the signposts to guide you on your journey. There are new discoveries to be made along the way: you are not your mind, you can find your way out of psychological pain, authentic human power is found by surrendering to the Now. When you become fully present and accepting of what is, you open yourself to the transforming experience of The Power of Now.

","Consciousness Altering
This book caused me to realize how much my mind (ego) is generally in control of me. I had studied a number of meditative teachings, and already had the ideas in my head, but it was this book that catalyzed a clear transformation in me. There were moments where Tolle's voice (as the narrator) caused me to observe my own presence. My mind wrestled with the book, and at several points it wanted to toss the book aside, dismissing it as new-age spiritual hoo-ha (and there may be points where you try to dismiss it this way, also). But in retrospect, as I live my life, it is impossible to ignore the essential truth that Tolle has put words to. Slowly, the moments are increasing where I feel liberated from my mind's patterns of control and obsession with past/future. This was one of the most powerful books I have encountered.

","Eckhart Tolle's work, The Power of Now, is filled with wisdom, inspiration, and practical advice from beginning to end. He shows clearly how progress in the evolution of human consciousness is absolutely necessary for survival of life on this planet, and that it is up to each one of us to change our perception of the world in which we live if that progress is to take place. Tolle also shows how our tendency to dwell in the past and future obscures the present moment. In so doing, we fail to see what is necessary right now, thus we make wrong choices and decisions which lead to untold suffering for self and others. This work is a recipe for true happiness and if everyone followed the advice contained therein the world would be a happier place to live in. I have listened to it so many times now I have lost count. If I were shipwrecked on a desert island and I could take only one book, this would be it!"
12-12-11,19236,https://www.audible.com/pd/The-Untethered-Soul-Audiobook/B006IE4OY0?qid=1612837512&sr=1-7&ref=a_search_c3_lProduct_1_7&pf_rd_p=83218cca-c308-412f-bfcf-90198b687a2f&pf_rd_r=5KYE91TDTG8WN45DCKWP,The Untethered Soul,"
The Journey Beyond Yourself",Spiritual teacher Michael A. Singer explores the question of human identity and shows how the development of consciousness can enable us all to dwell in the present moment and achieve happiness and self-realization.,"Best book ever !
Please keep an open mind as you listen. Don’t try to over analyze the message. If this is your first book on this kind of topic, there’s a slight chance the message might not be received in its entirety. Understand how the human mind works, how it interacts, and how it affects you throughout your day first, and then you’ll be able to get the most out of this book","Fabulous!
Okay, I love Tolle, Dyer, Chodron, Chopra, Ruiz, Byron Katie, and many others, and that won't change. But for the clearest explanation of how to disregard that 'nut' running commentary in my head, this book wins hands down. It is funny, I mean oh so, 'oh my goodness of course' belly laugh funny, and sensible and simple. I love simple. If you really want to understand who 'you' are...the real you behind the insanity, this is a great book. I found the narrator to be fine, not perfect but I had no problem listening to him. Listened all the way through first day and started over."
